ts,best_ask,best_bid,mid,spread_pct,vwap_ask5,vwap_bid5,vol_ask,vol_bid,imbalance,bcv
2026-08-19T00:23:32+00:00,910.0,914.5,912.25,-0.49329,911.995999,913.946678,30401.46,829892.33,0.92932,
2026-08-19T01:58:24+00:00,910.0,911.0,910.5,-0.10983,912.47103,910.062686,238768.0,564287.57,0.40535,
2026-08-19T03:00:03+00:00,909.0,915.616,912.308,-0.72519,909.882588,908.487888,3873.93,228731.33,0.96669,
2026-08-19T03:52:57+00:00,908.0,909.42,908.71,-0.15627,909.63155,907.604699,29706.7,146187.21,0.66222,
2026-08-19T04:25:27+00:00,909.0,920.0,914.5,-1.20284,909.489023,906.354162,9371.51,135421.23,0.87055,
2026-08-19T05:01:58+00:00,908.995,920.0,914.4975,-1.20339,909.930256,906.356543,13876.77,90425.64,0.73391,
2026-08-19T05:39:03+00:00,905.003,907.0,906.0015,-0.22042,909.82621,906.152548,35988.53,73097.93,0.34018,
2026-08-19T06:01:37+00:00,909.98,907.7,908.84,0.25087,909.999615,907.085952,84808.4,39994.27,-0.35908,
2026-08-19T06:58:36+00:00,910.0,907.0,908.5,0.33021,910.253939,906.353216,107607.98,50262.82,-0.36324,
2026-08-19T07:41:27+00:00,910.0,907.0,908.5,0.33021,910.0,906.248002,104869.16,75489.32,-0.1629,
2026-08-19T08:15:51+00:00,910.0,907.0,908.5,0.33021,910.0,906.651927,110069.9,212080.55,0.31666,
2026-08-19T08:57:19+00:00,910.0,907.0,908.5,0.33021,910.286293,906.886371,141202.52,22510.14,-0.725,
2026-08-19T09:34:10+00:00,909.999,907.5,908.7495,0.27499,910.078146,906.849947,97397.85,67923.61,-0.17828,
2026-08-19T10:01:41+00:00,910.0,908.0,909.0,0.22002,910.900393,907.519246,136364.92,96170.07,-0.17286,
2026-08-19T10:37:52+00:00,910.61,907.0,908.805,0.39722,910.984939,906.95011,121765.88,336358.5,0.46842,
2026-08-19T10:59:56+00:00,911.0,913.08,912.04,-0.22806,911.301944,908.614773,88540.92,261875.49,0.49465,
2026-08-19T11:33:02+00:00,909.7,914.0,911.85,-0.47157,909.908442,909.300231,4568.31,195292.7,0.95429,
2026-08-19T11:55:00+00:00,908.87,908.5,908.685,0.04072,909.628121,908.120439,59500.05,208083.2,0.55528,
2026-08-19T12:34:08+00:00,910.0,914.5,912.25,-0.49329,910.794546,911.695341,128080.97,454182.4,0.56006,
2026-08-19T13:28:03+00:00,911.0,913.0,912.0,-0.2193,911.0,912.598256,102366.04,568104.56,0.69464,
2026-08-19T14:07:18+00:00,911.0,917.08,914.04,-0.66518,911.939235,914.516183,6114.48,643234.42,0.98117,
2026-08-19T14:49:40+00:00,914.199,917.1,915.6495,-0.31682,914.769152,917.011477,90578.5,523665.13,0.70507,
2026-08-19T15:16:24+00:00,915.0,921.505,918.2525,-0.70841,916.230898,921.454111,204477.95,604028.78,0.49418,
2026-08-19T15:49:19+00:00,915.0,924.0,919.5,-0.97879,921.981187,923.693554,16999.89,268394.96,0.88087,
2026-08-19T16:14:07+00:00,915.0,924.0,919.5,-0.97879,921.9326,923.83107,67312.68,700982.72,0.82477,
2026-08-19T16:48:09+00:00,830.0,922.007,876.0035,-10.50304,918.464067,922.004728,131875.41,311265.44,0.40481,
2026-08-19T17:12:27+00:00,920.0,922.6,921.3,-0.28221,920.036591,922.343447,20548.93,637800.18,0.93757,
2026-08-19T17:40:51+00:00,915.0,924.1,919.55,-0.98961,921.0986,923.897514,8843.6,539493.73,0.96774,
2026-08-19T17:58:50+00:00,921.414,926.0,923.707,-0.49648,922.459545,925.936189,9387.88,887683.52,0.97907,
2026-08-19T18:40:44+00:00,924.5,935.0,929.75,-1.12934,924.861067,928.191354,3352.14,501995.31,0.98673,
2026-08-19T19:07:02+00:00,924.979,928.0,926.4895,-0.32607,925.150023,927.090369,19135.85,580335.42,0.93616,
2026-08-19T19:35:20+00:00,924.979,930.0,927.4895,-0.54135,926.992795,929.221177,27988.1,321207.27,0.8397,
2026-08-19T19:55:08+00:00,927.0,950.25,938.625,-2.47703,927.430592,932.354689,38241.83,980969.17,0.92496,
2026-08-19T20:20:13+00:00,927.0,930.5,928.75,-0.37685,927.929457,929.274427,25515.03,393408.0,0.87819,
2026-08-19T20:49:41+00:00,825.8,927.0,876.4,-11.54724,898.456728,926.760954,30681.69,350868.89,0.83917,
2026-08-19T21:12:24+00:00,917.0,924.4,920.7,-0.80374,917.809812,918.520985,110410.35,213716.0,0.31872,
2026-08-19T21:41:36+00:00,913.0,915.851,914.4255,-0.31178,913.112787,913.863954,32437.98,534091.66,0.88549,
